sku,product_name,platform,sale_price,item_cost,shipping_cost,other_costs,quantity,category
PORT001,Wireless Mouse,Mercari,3980,1800,450,0,1,
PORT002,Mechanical Keyboard,Mercari,7980,4200,850,0,1,
PORT003,USB-C Hub,Mercari,2980,2300,450,0,1,
PORT004,Portable SSD,Yahoo Auctions,8980,4300,750,150,1,
PORT005,Gaming Headset,Yahoo Auctions,6480,3000,750,0,1,
PORT006,ウェブカメラ,Yahoo Auctions,4980,4300,750,0,1,
PORT007,Phone Charger,Yahoo! Flea Market,3480,1400,450,0,1,
PORT008,ノートPCスタンド,Yahoo! Flea Market,5980,2800,750,0,1,
PORT009,Bluetooth Speaker,Yahoo! Flea Market,4480,3500,450,100,1,
PORT010,Golf Rangefinder,Rakuma,12000,7000,750,100,1,
PORT011,ゲームコントローラー,Rakuma,6980,3400,750,0,1,
PORT012,External SSD,Rakuma,8980,6900,750,100,1,
PORT013,USB Microphone,Amazon Japan,7480,3600,600,0,1,Consumer Electronics
PORT014,ノートパソコン周辺機器,Amazon Japan,6480,2900,600,0,1,Computers and Accessories
PORT015,Kitchen Storage Rack,Amazon Japan,5280,2800,700,100,1,Home and Kitchen
PORT016,Camera Lens,eBay,15000,7000,1500,0,1,Most Categories
PORT017,Japanese Collectible,eBay,22000,9000,2200,300,1,Most Categories
PORT018,Vintage Game Controller,eBay,9500,5500,1400,150,1,Most Categories
PORT019,Desk Lamp,Yahoo Shopping,5000,2000,500,0,1,
PORT020,デスクオーガナイザー,Yahoo Shopping,7800,3900,700,100,1,
PORT021,USB Desk Fan,Yahoo Shopping,3800,3000,450,100,1,
PORT022,Kitchen Organizer,Rakuten Ichiba,5000,2000,500,0,1,
PORT023,収納ボックス,Rakuten Ichiba,6800,3100,650,100,1,
PORT024,Portable Monitor,Rakuten Ichiba,16800,11500,900,300,1,
PORT025,Missing Cost Example,Mercari,4980,,450,0,1,
PORT026,Duplicate Example,Yahoo! Flea Market,5980,2600,450,0,1,
PORT026,Duplicate Example,Yahoo! Flea Market,5980,2600,450,0,1,
PORT027,Conflicting SKU Example,Mercari,6980,3200,450,0,1,
PORT027,Conflicting SKU Example,Mercari,7980,3200,450,0,1,
PORT028,Deliberate Loss Example,Yahoo Auctions,3000,3500,750,200,1,
